channel_a,channel_b,row_pearson,row_spearman,uav_pearson,uav_spearman,maximum_absolute_correlation
telemetry_19,telemetry_21,0.9634807054012698,0.9033611764781877,0.9992544122610475,0.9975397539753975,0.9992544122610475
telemetry_06,telemetry_12,-0.8393199850155137,-0.8110604641325523,-0.9988913084971631,-0.9972997299729973,0.9988913084971631
telemetry_13,telemetry_28,-0.7440856392973731,-0.7129440546502332,-0.995057166293914,-0.9944074407440744,0.995057166293914
telemetry_25,telemetry_28,0.8534503136991555,0.8243170009153741,0.9932689040033045,0.9916711671167117,0.9932689040033045
telemetry_16,telemetry_22,-0.6772163188648607,-0.652788190487888,-0.9915897511795957,-0.9908910891089109,0.9915897511795957
telemetry_13,telemetry_25,-0.7617223839577618,-0.7363675524329777,-0.9886153862413757,-0.9864026402640264,0.9886153862413757
telemetry_22,telemetry_25,-0.7460932144288184,-0.7184777819603934,-0.9789828434590879,-0.9857785778577858,0.9857785778577858
telemetry_22,telemetry_28,-0.7161671980325892,-0.6887038635202649,-0.9753006290658988,-0.9851065106510651,0.9851065106510651
telemetry_16,telemetry_25,0.7837219221433869,0.7585777434605488,0.9795394468199928,0.9837143714371437,0.9837143714371437
telemetry_15,telemetry_23,-0.9536594958970586,-0.8907562396737456,-0.9830976575303368,-0.9741974197419742,0.9830976575303368
telemetry_13,telemetry_22,0.6401579581908151,0.6199099862677365,0.9728959828876295,0.983006300630063,0.983006300630063
telemetry_13,telemetry_16,-0.6698182041902984,-0.6504220106107595,-0.9756418873781154,-0.982070207020702,0.982070207020702
telemetry_16,telemetry_28,0.7491927517037896,0.7224534063701623,0.976059934991353,0.982046204620462,0.982046204620462
telemetry_06,telemetry_11,0.4288664328737734,0.7962486046945509,0.9783152960883355,0.9659405940594059,0.9783152960883355
telemetry_11,telemetry_12,-0.42491540866044913,-0.7935463924831148,-0.9775696127833642,-0.9652925292529253,0.9775696127833642
telemetry_07,telemetry_12,0.5923489576921874,0.5261862522537915,0.9509718637050842,0.9052642108954877,0.9509718637050842
telemetry_06,telemetry_07,-0.6009314738483628,-0.5280493783722402,-0.9489810889800915,-0.9054294304201768,0.9489810889800915
telemetry_12,telemetry_24,-0.4068990260076744,-0.7864011328315169,-0.9470975986445198,-0.9356855685568557,0.9470975986445198
telemetry_06,telemetry_24,0.4068046935110452,0.7838766504321583,0.9459399921937629,0.9346774677467746,0.9459399921937629
telemetry_07,telemetry_24,-0.4144269711083388,-0.536436150144757,-0.9457629531230723,-0.8872156300184513,0.9457629531230723
telemetry_07,telemetry_11,-0.3210490064020764,-0.5189207314424013,-0.9255219500751161,-0.8911015932391387,0.9255219500751161
