channel,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle,valid_uavs,median_within_pearson_cycle,median_within_spearman_cycle,median_within_pearson_rul,median_within_spearman_rul,median_linear_slope_per_cycle,median_theil_sen_slope_per_cycle,positive_slope_uavs_percent,negative_slope_uavs_percent,dominant_trend_direction,dominant_trend_uavs_percent,median_last_minus_first,median_early_to_late_change,median_early_to_late_effect_size
telemetry_07,-0.3634317753562885,-0.4307632485626869,0.5282200070688239,0.46877920698957626,-0.14582349559658098,-0.22145179549418273,44,0.687681424469297,0.7002520672557062,-0.687681424469297,-0.7002520672557062,0.0,0.0,100.0,0.0,increasing,100.0,0.0,0.0,0.7149913766762764
telemetry_13,-0.5900574835887065,-0.6478737696508308,0.30061250308924564,0.31094678505663614,-0.5326983243605202,-0.6036736950582847,100,0.6490201595261816,0.633174579191211,-0.6490201595261816,-0.633174579191211,0.05167755397677822,0.05131805096909917,100.0,0.0,increasing,100.0,14.832951593904,9.335366960131068,1.881950866647763
telemetry_15,-0.4818073041660177,-0.4903302390466493,0.48856405284367055,0.4636101140265594,-0.32187848513096007,-0.30733269394157625,100,0.8251623206420213,0.8639727666293107,-0.8251623206420213,-0.8639727666293107,0.7453315718892155,0.616892084757905,76.0,24.0,increasing,76.0,316.89818872575415,202.39809451256588,2.415415172045029
telemetry_16,0.6492201530633014,0.6996765470443913,-0.38618495932491076,-0.38185440766535184,0.5728887779628918,0.6350886977429037,100,-0.6975452440514169,-0.6840487202605607,0.6975452440514169,0.6840487202605607,-0.028746330501278443,-0.026087185499167026,0.0,100.0,decreasing,100.0,-8.671536931659716,-5.5785397638876475,-2.044171352457353
telemetry_18,-0.006490125185753463,0.20557305747453583,0.09978803473809146,0.257501259299504,0.047833873781563875,0.4498581560636064,100,-0.023323644877711013,0.01855641913822173,0.023323644877711013,-0.01855641913822173,-3.1607483620757188e-06,4.608190312619336e-06,44.0,56.00000000000001,decreasing,56.00000000000001,0.002090565459027971,-0.0007093296956242057,-0.052590598835521904
telemetry_19,-0.655853724150721,-0.7388766979612083,0.43700793095258467,0.44718915654987135,-0.5647897219071724,-0.6581556717097403,100,0.8041619581935107,0.8138929915184825,-0.8041619581935107,-0.8138929915184825,0.014436336949512794,0.01333279225052698,100.0,0.0,increasing,100.0,4.436434469698725,2.566338522301521,2.3340842792399443
telemetry_21,-0.6553447809034066,-0.7387717097596644,0.4381106082284078,0.4475559584353588,-0.563804189691028,-0.6578558272949524,100,0.8010511065738108,0.8222746917010342,-0.8010511065738108,-0.8222746917010342,0.015144495332793233,0.01337761453707938,100.0,0.0,increasing,100.0,4.4146127971798705,2.7338860296295024,2.314466668692106
telemetry_22,-0.6242356794042637,-0.6725188315503696,0.3735059133113134,0.36826665919346413,-0.5464530452452774,-0.605886915425439,100,0.6590523984763526,0.6389858179822674,-0.6590523984763526,-0.6389858179822674,0.8878170363285065,0.90328734411371,100.0,0.0,increasing,100.0,273.5902139817499,170.68904451910385,1.9140535347982113
telemetry_23,0.5515964434628312,0.588250958482278,-0.5075501436347656,-0.48447543567632073,0.4062940813855832,0.4315954338345236,100,-0.824958181343979,-0.8586035220579327,0.824958181343979,0.8586035220579327,-0.28753438478008364,-0.24895674118449632,16.0,84.0,decreasing,84.0,-127.52459545037709,-79.9074752855613,-2.402244697315014
telemetry_25,0.6889151079472547,0.7584420334070917,-0.40741231764005414,-0.3924555331317043,0.6154650389499418,0.7083193120354391,100,-0.7982523061182718,-0.7947066016382831,0.7982523061182718,0.7947066016382831,-0.009447252780460172,-0.008639979248144405,0.0,100.0,decreasing,100.0,-2.7800924643312044,-1.8366239144374106,-2.3240953777023456
telemetry_26,0.09541862253131761,0.09076512270770284,-0.15088927372668426,-0.22668863667563832,0.026079242074593962,-0.05083788613379737,100,0.752657709477442,0.7459267042014929,-0.752657709477442,-0.7459267042014929,0.09805049492478116,0.09586161091905929,59.0,41.0,increasing,59.0,27.126277623061924,17.427515210764795,2.1355575968983906
telemetry_28,0.656580630440404,0.7246153060315763,-0.36153431616639037,-0.3599296508859514,0.5903710381464455,0.6785684504834619,100,-0.7559260459413432,-0.7385465902281787,0.7559260459413432,0.7385465902281787,-0.6981197107140225,-0.6506462402389827,0.0,100.0,decreasing,100.0,-207.75723417453173,-127.6487092153584,-2.213831711383777
