split,category,uav_id,flight_cycle,telemetry_01,telemetry_02,telemetry_03,telemetry_04,telemetry_05,telemetry_06,telemetry_07,telemetry_08,telemetry_09,telemetry_10,telemetry_11,telemetry_12,telemetry_13,telemetry_14,telemetry_15,telemetry_16,telemetry_17,telemetry_18,telemetry_19,telemetry_20,telemetry_21,telemetry_22,telemetry_23,telemetry_24,telemetry_25,telemetry_26,telemetry_27,telemetry_28
train,short,UAV_0079,1,-0.026092062249505558,-0.6534820915522467,0.0,0.314762354422471,-0.731764411935639,-0.07837899017370761,0.0,0.0,0.5106988633336278,-0.5612741336920036,0.20234722784293946,0.5901794145420027,0.185823491544347,0.0,0.2517104423753853,0.6744907594765952,0.0,-0.640241005653457,-0.6885236414704888,0.0,-0.3854232911322054,0.3060464679563667,-0.26572181381019017,0.0345552512086833,0.6744907594765952,-0.1414254818257227,0.0,0.8874408558883149
train,short,UAV_0079,2,-0.11625215316247081,-0.14016790628771786,0.0,0.1348981518954089,-0.5127434499540496,0.03739181182599868,0.0,0.0,-0.09970352825074391,-0.2421275789461452,0.11587405355106857,0.23185619857005707,-0.09906573162579195,0.0,0.25077818147773495,0.6744907594765952,0.0,-0.6563791939823944,-0.6833607356087005,0.0,-0.2890674683491541,0.07725444822199655,-0.5233361871156668,0.10737928164887814,0.3372453797382976,-0.11150855297797035,0.0,0.8294701962723584
train,short,UAV_0079,3,-0.20641224407543607,-0.053900657672359686,0.0,-0.04496605063165321,-0.731764411935639,0.021572199130392017,0.0,0.0,0.5106988633336278,-0.5612741336920036,0.029400879259197685,0.2529340348037052,-0.2324297323039953,0.0,0.2517104423753853,0.6744907594765952,0.0,-0.6606072690735114,-0.6781978297469121,0.0,-0.1927116455661027,-0.1515375715123736,-0.26572181381019017,0.0345552512086833,0.26979630379062547,-0.081591624130218,0.0,0.7714995366564019
train,short,UAV_0079,4,-0.20641224407543607,-0.6534820915522467,0.0,-0.04496605063165321,-0.731764411935639,0.021572199130392017,0.0,0.0,0.5865875565908086,-0.5612741336920036,0.029400879259197685,0.2529340348037052,-0.3839549547959309,0.0,0.2787460084083455,0.6744907594765952,0.0,-0.640241005653457,-0.6781978297469121,0.0,-0.3854232911322054,-0.6328922104339588,-0.26572181381019017,-0.05623695668149621,0.0,0.010878883217339421,0.0,0.4125504392149535
train,short,UAV_0079,5,-0.026092062249505558,-0.14807598259698013,0.0,-0.35972840505502274,-0.9956137375516858,0.09347952956498856,0.0,0.0,0.5865875565908086,0.07701897579971324,-0.19369991041383405,0.4637123971401142,-0.2324297323039953,0.0,0.2787460084083455,1.3489815189531904,0.0,-0.640241005653457,-0.6342608557089564,0.0,-0.3854232911322054,-0.6328922104339588,-0.36230567723934537,-0.05623695668149621,0.26979630379062547,0.05439441608683498,0.0,0.17820098814329766
train,short,UAV_0079,6,-0.20641224407543607,-0.14807598259698013,0.0,-0.8543549620045559,-0.9956137375516858,0.12727597486926068,0.0,0.0,-0.10767047741407713,-0.31890162539230066,0.029400879259197685,0.2529340348037052,-0.2324297323039953,0.0,0.6572439328693488,1.3489815189531904,0.0,-0.6606072690735114,-0.5661672001438564,0.0,-0.3854232911322054,-0.8096860438650985,-0.6646320912592709,-0.0016557161000644621,0.0,0.05439441608683498,0.0,0.17820098814329766
train,short,UAV_0079,7,0.289060040763177,-0.14807598259698013,0.0,-0.35972840505502274,-0.9956137375516858,0.09347952956498856,0.0,0.0,0.8437160374602252,-0.31890162539230066,-0.0294008792592667,0.2529340348037052,-0.09135129277695374,0.0,0.6572439328693488,0.6744907594765952,0.0,-0.6340745150889816,-0.1974217152687815,0.0,-0.3854232911322054,-0.6328922104339588,-0.36230567723934537,-0.1773454680327121,0.26979630379062547,0.1958198979125577,0.0,0.17820098814329766
train,short,UAV_0079,8,0.289060040763177,-0.14807598259698013,0.0,-0.35972840505502274,-0.5371725210108723,0.09347952956498856,0.0,0.0,-0.10767047741407713,-0.31890162539230066,0.21445347224381128,0.1264670174018886,-0.09135129277695374,0.0,0.8511541995882121,0.0,0.0,-0.6340745150889816,-0.1974217152687815,0.0,-0.3854232911322054,-0.26444791891369324,-0.6646320912592709,-0.0016557161000644621,0.20234722784298487,0.05439441608683498,0.0,0.17820098814329766
train,short,UAV_0079,9,-0.723306077029103,-0.01986567779985822,0.0,-0.35972840505502274,-0.48107849080905224,-0.28978654165144496,0.0,0.0,-0.10767047741407713,0.31103609169162977,0.09166156474935945,0.1264670174018886,-0.028286845532339042,0.0,0.8511541995882121,0.0,0.0,-0.6534590233489475,-0.1974217152687815,0.0,-0.3854232911322054,-0.26444791891369324,-0.7842393971947226,-0.0016557161000644621,0.20234722784298487,0.04895497447816527,0.0,0.17820098814329766
train,short,UAV_0079,10,-0.723306077029103,0.6085627477000066,0.0,-0.08993210126375568,-0.48107849080905224,-0.33940259965134006,0.0,0.0,0.4112274825355832,0.31103609169162977,0.2403954245313806,0.04215567246729619,-0.028286845532339042,0.0,0.8968349835748395,-0.6744907594765952,0.0,-0.681484627660035,-0.19067976849026255,0.0,-0.3854232911322054,-0.6908330466005027,-0.7842393971947226,-0.0838103389728437,0.10117361392147665,-0.03263664965212167,0.0,0.35636956871806624
train,short,UAV_0079,11,0.6767203307802115,0.7279926597992462,0.0,0.0,-0.48107849080905224,-0.33940259965134006,0.0,0.0,1.4148726247788055,0.31103609169162977,0.09166156474935945,0.04215567246729619,0.015346343934693658,0.0,0.43816262191282584,0.0,0.0,-0.6534590233489475,-0.1974217152687815,0.0,-0.3854232911322054,-0.6908330466005027,-0.2069259997221135,-0.1309783231768082,0.20234722784298487,-0.03263664965212167,0.0,0.35636956871806624
train,short,UAV_0079,12,0.6767203307802115,0.6085627477000066,0.0,0.0,-0.5371725210108723,-0.33940259965134006,0.0,0.0,0.4112274825355832,0.8342810222209645,0.09166156474935945,0.04215567246729619,-0.028286845532339042,0.0,0.6991956732651546,-0.6744907594765952,0.0,-0.6679946197333686,-0.2392309335283308,0.0,-0.4817791139152568,-0.6908330466005027,-0.5985584035860052,-0.0838103389728437,0.20234722784298487,-0.13054659860838327,0.0,0.35636956871806624
train,short,UAV_0079,13,0.6767203307802115,0.6085627477000066,0.0,0.0,-0.48107849080905224,-0.33940259965134006,0.0,0.0,0.8678349794410891,0.8342810222209645,0.09166156474935945,-0.08431134493459239,0.015346343934693658,0.0,0.41299157767527633,-0.6744907594765952,0.0,-0.6617871953887339,-0.2392309335283308,0.0,-0.4817791139152568,-0.6908330466005027,-0.5985584035860052,-0.1309783231768082,0.30352084176446154,-0.03263664965212167,0.0,0.35636956871806624
train,short,UAV_0079,14,0.6767203307802115,-0.46700948498807576,0.0,0.044966050632102475,-0.022311142857831697,0.22794623747770237,0.0,0.0,1.2545486391892304,0.8142152614417071,0.20234722784293946,-0.08431134493459239,0.10774904361714359,0.0,0.5183370591139462,-0.6744907594765952,0.0,-0.6617871953887339,-0.2392309335283308,0.0,-0.6744907594813595,-0.48284030138746925,-0.3943480073362506,-0.1344167251535414,0.30352084176446154,-0.03263664965212167,0.0,0.19317815303806174
train,short,UAV_0079,15,0.45101960368834754,-0.528104704866415,0.0,0.35972840505502274,-0.022311142857831697,0.24592307008638414,0.0,0.0,0.8678349794410891,0.8142152614417071,0.20234722784293946,0.29508970727100137,0.2036233514629393,0.0,0.41299157767527633,0.0,0.0,-0.6336821948009089,-0.39164326938194194,0.0,-0.6744907594813595,-0.48284030138746925,-0.5985584035860052,-0.14215115928270727,0.30352084176446154,-0.03807609126079138,0.0,0.19317815303806174
