channel,telemetry_01,telemetry_02,telemetry_03,telemetry_04,telemetry_05,telemetry_06,telemetry_07,telemetry_08,telemetry_09,telemetry_10,telemetry_11,telemetry_12,telemetry_13,telemetry_14,telemetry_15,telemetry_16,telemetry_17,telemetry_18,telemetry_19,telemetry_20,telemetry_21,telemetry_22,telemetry_23,telemetry_24,telemetry_25,telemetry_26,telemetry_27,telemetry_28
telemetry_01,1.0,-0.0029530924346867294,,-0.0016384903901235993,0.005574863006538072,0.03814132774869102,-0.016954036305102598,,0.010871358031229659,-0.0008383441459917965,0.03119170152544658,-0.03742013746241925,0.023568315437317737,,-0.032380525228758374,-0.022367242833323767,,0.0034075984962039963,0.006640010744270239,,0.0069162109483191115,0.014402666768662864,0.028639307393812184,0.035108998915961115,-0.015608124553681657,0.061460517715292505,,-0.018757890978673062
telemetry_02,-0.0029530924346867294,1.0,,-0.001345134772064072,0.012386363545562619,-0.004474250946891572,-0.000491563782538911,,-0.000565673495330826,-0.009189160550700022,-0.00168219412024189,0.0009057774776116801,-0.0017322878618131019,,0.007035164053746646,0.0032362588003883217,,-0.010855901946335959,-0.002634357010020362,,-0.002417871395401122,0.0021108264641019545,-0.0005107641401176557,-0.006508479930135884,0.002152269730663377,-0.007000468160175997,,0.007574182497920544
telemetry_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telemetry_04,-0.0016384903901235993,-0.001345134772064072,,1.0,0.0029169481485833686,-0.0040837059938745816,0.005654449441643877,,-0.0046287984181302925,-0.006995761875100941,-0.003791914766893481,0.009749314979250016,0.0018896861129068221,,0.011364112438312491,0.001863429509274286,,0.003078698597328999,0.0005632716149554996,,0.00023465937444025099,0.004789091581843232,-0.010641748988218357,0.00018288007079835935,-0.0057030732918874226,-0.006927185871568478,,-0.00037072626940402544
telemetry_05,0.005574863006538072,0.012386363545562619,,0.0029169481485833686,1.0,0.005460131782610613,-0.0016025833969297298,,-0.00478501657758234,-0.0017000734184329212,0.0022791764028778604,-0.00348841784625194,0.004726829354940276,,0.0070382669882744255,-0.0025469287045409247,,-0.007891260326973248,-0.007927554023839397,,-0.004538429022929238,0.0040624903280616805,-0.0031013668355548015,0.008253939595873885,-5.95329501119174e-05,0.007777718307662004,,-0.0031655345788571794
telemetry_06,0.03814132774869102,-0.004474250946891572,,-0.0040837059938745816,0.005460131782610613,1.0,-0.5280493783722402,,0.0022120950643966576,-0.007669130540952978,0.7962486046945509,-0.8110604641325523,0.2553463603675193,,-0.3921303853970365,-0.15697557073852755,,-0.4033417823205002,-0.033004522321925835,,-0.03047228707124147,0.14461034806935327,0.2862493489565824,0.7838766504321583,-0.21653759597109934,0.7442413955127269,,-0.2601988890921519
telemetry_07,-0.016954036305102598,-0.000491563782538911,,0.005654449441643877,-0.0016025833969297298,-0.5280493783722402,1.0,,-0.005852312189819569,-0.002699584485524014,-0.5189207314424013,0.5261862522537915,0.2704799060608755,,0.5103496464319763,-0.35808208353970417,,0.18405624965172132,0.518703596902188,,0.5187459823201465,0.34644174656793447,-0.5062198427556327,-0.536436150144757,-0.3813829021672648,-0.5106628325787417,,-0.3312589834812833
telemetry_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telemetry_09,0.010871358031229659,-0.000565673495330826,,-0.0046287984181302925,-0.00478501657758234,0.0022120950643966576,-0.005852312189819569,,1.0,0.0008118468634552374,0.0027025126536819283,-0.0029613504486142345,-0.0019534284775167476,,0.001026183818387883,0.002329847490800612,,0.0016521405447832336,-0.008475602114006896,,-0.009589523234143898,0.006214188435549057,-0.0006975730909002652,0.007057164367075952,0.005937525490378703,0.007378591870162494,,0.007987174943790585
telemetry_10,-0.0008383441459917965,-0.009189160550700022,,-0.006995761875100941,-0.0017000734184329212,-0.007669130540952978,-0.002699584485524014,,0.0008118468634552374,1.0,-0.0020293865140796315,0.0009192596372873264,-0.0013672639983885785,,-0.009850489865574012,0.01485205157953876,,0.006168722736331305,-0.007945790275734221,,-0.009660806201464409,-0.013761222016190433,0.010090247490549629,0.003966225152895405,0.0060673113856227895,0.0017442862246239976,,0.011150779541315022
