channel,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant,mean_median_gap_sd,iqr_to_sd
telemetry_01,24720,85.14825684039049,86.1256068751618,30.330791831321548,-101.72840432261376,58.027129792309,77.9305221748381,94.19693686208481,107.58998554676165,304.0305942619277,16.26641468724671,False,-0.03222303064841288,0.5363003635944957
telemetry_02,24720,11.414002297086283,11.450119333911868,7.645228491572083,-26.95005426096617,-1.144535231275816,6.294153160153767,16.539880765904833,24.0201214852633,41.19053043166091,10.245727605751066,False,-0.004724127848552828,1.3401466832607698
telemetry_03,24720,30377.825049386076,30377.82504938608,7.274044108612685e-12,30377.82504938602,30377.82504938608,30377.82504938608,30377.82504938608,30377.82504938608,30377.825049386134,0.0,True,0.0,0.0
telemetry_04,24720,-125.89489801108418,-125.89519002252504,0.06290927847308976,-126.45444470211118,-125.949238901944,-125.9165251065062,-125.87385493854389,-125.83971880417398,-125.32359329280688,0.0426701679623136,False,0.0046417865210034185,0.6782809944413256
telemetry_05,24720,-113.52582875132971,-113.5258642454769,0.0026106777655830124,-113.53140290784968,-113.52959314359508,-113.52781918377319,-113.52335088742238,-113.5215392882313,-113.5195324995276,0.004468296350808032,False,0.013595759557917336,1.711546484102445
telemetry_06,24720,-138.25182026004856,-138.23398579240546,1.8689856783025507,-145.23358092092082,-141.54661400759232,-139.38242535813254,-137.03920787996964,-135.17934945348878,-131.734093375695,2.3432174781628987,False,-0.009542324400953015,1.2537375247792453
telemetry_07,24720,140.60186257113762,140.5912754437698,0.0299518241302597,140.50532674474425,140.5912754437698,140.5912754437698,140.5912754437698,140.67722414279535,140.7631728418209,0.0,False,0.3534718727570704,0.0
telemetry_08,24720,-4680.605940223164,-4680.605940223165,4.735857217366219e-12,-4680.6059402232,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223165,-4680.605940223131,0.0,True,0.0,0.0
telemetry_09,24720,-152.94727959380978,-152.88423589119955,9.805370636944465,-193.48289921942356,-169.24960300488357,-159.4527718071704,-146.3522665333191,-136.8142069437014,-109.92573433389512,13.100505273851297,False,-0.006429507353112716,1.3360540625044295
telemetry_10,24720,-62.43033940045121,-62.398095712819,2.3374644970047918,-82.51826829769236,-64.42500324295318,-63.195996990043554,-61.58942532771043,-60.36760569931204,-41.96529020500034,1.606571662333124,False,-0.01379430047965515,0.6873138241850398
telemetry_11,24720,62.43395248601908,62.43625919331159,0.6474560693230507,56.42417188812894,61.79417216548103,62.23166740324578,62.64832953445029,62.96563377282912,68.21278325829533,0.4166621312045109,False,-0.003562724023767934,0.6435373007471427
telemetry_12,24720,637.8411929853645,637.8604797511073,3.3142719006170296,626.9400759435748,632.2671021911517,635.7296692520765,639.8581145939486,643.5870329672523,649.3135861833973,4.128445341872066,False,-0.005819307021607429,1.245656803566255
