uav_id,elapsed_cycles,prediction_change,failure_cycle_estimate_change
UAV_0001,5.0,-12.997978484340678,-7.997978484340649
UAV_0001,6.0,-17.63813151679841,-11.63813151679841
UAV_0001,3.0,-3.9857477692242753,-0.9857477692243037
UAV_0001,22.0,-12.290026024041353,9.709973975958661
UAV_0002,29.0,-22.21784581065006,6.782154189349939
UAV_0002,51.0,-55.930646029719504,-4.930646029719497
UAV_0002,19.0,-17.43248518863419,1.567514811365811
UAV_0003,50.0,-50.2562741312792,-0.2562741312791843
UAV_0003,12.0,-1.9585917393282557,10.041408260671744
UAV_0003,6.0,-16.863473462304377,-10.863473462304398
UAV_0003,8.0,-8.872987215846134,-0.8729872158461376
UAV_0004,3.0,-7.2946761389883505,-4.294676138988336
UAV_0004,28.0,-15.926019250514841,12.073980749485145
UAV_0004,38.0,-23.371794463708788,14.628205536291205
UAV_0004,8.0,-17.88455942406572,-9.884559424065685
UAV_0005,15.0,2.116751532303084,17.116751532303084
UAV_0005,1.0,-8.861592937001944,-7.861592937001944
UAV_0005,32.0,-7.351050685034224,24.64894931496579
UAV_0005,69.0,-82.61479973055754,-13.614799730557536
UAV_0006,11.0,-0.4266045078789489,10.573395492121051
UAV_0006,38.0,-37.6987268883755,0.3012731116244822
UAV_0006,6.0,-0.6006420648836794,5.3993579351163135
UAV_0006,21.0,-19.827828781682193,1.1721712183178283
UAV_0007,3.0,2.2967585676271938,5.296758567627194
UAV_0007,20.0,-20.630274841726816,-0.6302748417267594
UAV_0008,23.0,1.705351105261272,24.705351105261258
UAV_0008,42.0,-12.645785925773552,29.354214074226434
UAV_0008,22.0,-40.536566234375556,-18.536566234375528
UAV_0008,30.0,-25.2525434062918,4.747456593708193
UAV_0009,23.0,-8.799972161995072,14.200027838004928
UAV_0010,9.0,-8.084692428523965,0.9153075714760348
UAV_0011,22.0,-0.31921479341609427,21.68078520658389
UAV_0011,15.0,-17.406710460593402,-2.406710460593388
UAV_0011,31.0,-45.68634858642171,-14.68634858642173
UAV_0011,33.0,-43.68977762469438,-10.689777624694386
UAV_0012,9.0,-2.861177046321032,6.138822953678982
UAV_0012,40.0,-38.69387541714988,1.3061245828501171
UAV_0012,14.0,-14.814650878573232,-0.8146508785732465
UAV_0012,43.0,-48.093000039299184,-5.09300003929917
UAV_0013,33.0,-26.614297205299266,6.385702794700734
UAV_0013,11.0,-5.612899261691808,5.387100738308192
UAV_0013,25.0,-16.738063415392496,8.261936584607497
UAV_0013,21.0,-13.143400950204374,7.856599049795619
UAV_0014,3.0,3.9952168994336006,6.995216899433615
UAV_0014,3.0,-2.8332705322483633,0.16672946775162245
UAV_0014,15.0,0.3127283664296385,15.312728366429667
UAV_0014,86.0,-78.52028585273007,7.4797141472699025
UAV_0015,10.0,-3.21883895880525,6.781161041194764
UAV_0015,29.0,-12.151458943738405,16.84854105626158
UAV_0015,62.0,-51.33199476258691,10.668005237413098
UAV_0016,30.0,-34.754676895770174,-4.754676895770217
UAV_0016,16.0,-10.80850166486421,5.191498335135805
UAV_0016,10.0,-19.35400864811401,-9.354008648114018
UAV_0017,19.0,-9.058099872203002,9.941900127796998
